LDO_01,,,,LDO_02,,,,LDO_03,,,,LDO_05,,,,LDO_06,,,,LDO_07,,,,LDO_08,,,,LDO_09,,,,LDO_10,,,,LDO_11,,,,LDO_12,,,,LDO_13,,,,LDO_14,,,,LDO_15,,,,LDO_VMIC1 ,,,,LDO_VMIC1 ,,,,LDO_VMIC2,,,,LDO_VMIC2,,
起始电压/V,,0.303,,起始电压/V,,0.82,,起始电压/V,,1.2,,起始电压/V,,1.207,,起始电压/V,,0.599,,起始电压/V,,0.6,,起始电压/V,,0.5975,,起始电压/V,,0.8993,,起始电压/V,,0.9011,,起始电压/V,,0.9,,起始电压/V,,0.3249,,起始电压/V,,1.2,,起始电压/V,,1.2,,起始电压/V,,1.2,,VMEM=1.8V,ldoa_res=4'b1010,,,VMEM=1.7V,ldoa_res=4'b1010,,,VMEM=1.8V,ldoa_res=4'b1010,,,VMEM=1.7V,ldoa_res=4'b1010,
截止电压/V,,1.886,,截止电压/V,,1.805,,截止电压/V,,2.2,,截止电压/V,,3.712,,截止电压/V,,1.22,,截止电压/V,,1.5 (受限于输入电压),,截止电压/V,,1.4997,,截止电压/V,,2.0905,,截止电压/V,,2.11,,截止电压/V,,2.17,,截止电压/V,,1.1,,截止电压/V,,4.3,,截止电压/V,,4.3,,截止电压/V,,4.3,,起始电压/V,,1.072,,起始电压/V,,1.0123,,起始电压/V,,1.0712,,起始电压/V,,1.0114
默认电压/V,,,,,,,,默认电压/V,,,,默认电压/V,,3.314 (0x15),,默认电压/V,,,,默认电压/V,,1.091 (0x64),,默认电压/V,,1.089 (0x64),,默认电压/V,,1.7 (0xA0),,默认电压/V,,1.1 (0x28),,默认电压/V,,1.1 (0x28),,默认电压/V,,0.61 (0xC),,默认电压/V,,3.3 (0x15),,默认电压/V,,1.8 (0x06),,默认电压/V,,1.8 (0x06),,截止电压/V,,3.21,,截止电压/V,,3.1791,,截止电压/V,,3.2242,,截止电压/V,,3.1751
setp/mV,,25.13,,setp/mV,,98.56,,setp/mV,,99.48,,setp/mV,,100,,setp/mV,,24.8,,setp/mV,,4.938461538,,setp/mV,,4.957142857,,setp/mV,,4.984100418,,setp/mV,,4.969387755,,setp/mV,,4.991372549,,setp/mV,,24.97096774,,setp/mV,,99.92857143,,setp/mV,,99.8516129,,setp/mV,,99.55806452,,默认电压/V,,,,默认电压/V,,,,默认电压/V,,2.364,,默认电压/V,,2.233
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,setp/mV,,143.05625,,setp/mV,,135.3823529,,setp/mV,,143.5333333,,setp/mV,,135.1941176
Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,,,,,,,,,,,,,,,
0,0.303,/,,0,0.8195,/,,0,1.1978,/,,0,1.207,/,,0,0.5985,/,,0,0.5955,/,,0,0.5975,/,,0,0.8993,/,,0,0.9011,/,,0,0.9009,/,,0,0.3249,/,,0,1.2024,/,,0,1.2035,/,,0,1.1989,/,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV
1,0.3321,29.1,,1,0.9162,96.7,,1,1.2982,100.4,,1,1.308,101,,1,0.6233,24.8,,1,0.6002,4.7,,1,0.6023,4.8,,1,0.9042,4.9,,1,0.9061,5,,1,0.9058,4.9,,1,0.3355,10.6,,1,1.3026,100.2,,1,1.3041,100.6,,1,1.2991,100.2,,0,1.0719,/,,0,1.0123,/,,0,1.0712,/,,0,1.0114,/
2,0.3569,24.8,,2,1.0139,97.7,,2,1.3984,100.2,,2,1.408,100,,2,0.6486,25.3,,2,0.6054,5.2,,2,0.6074,5.1,,2,0.9091,4.9,,2,0.9111,5,,2,0.9108,5,,2,0.3661,30.6,,2,1.4029,100.3,,2,1.4041,100,,2,1.3979,98.8,,1,1.2153,0.1434,,1,1.1476,0.1353,,1,1.2145,0.1433,,1,1.1466,0.1352
3,0.3815,24.6,,3,1.1124,98.5,,3,1.499,100.6,,3,1.508,100,,3,0.6734,24.8,,3,0.6102,4.8,,3,0.6122,4.8,,3,0.9141,5,,3,0.9162,5.1,,3,0.9157,4.9,,3,0.3897,23.6,,3,1.5027,99.8,,3,1.5044,100.3,,3,1.498,100.1,,2,1.3572,0.1419,,2,1.2818,0.1342,,2,1.3624,0.1479,,2,1.2863,0.1397
4,0.4081,26.6,,4,1.2165,104.1,,4,1.5963,97.3,,4,1.605,97,,4,0.6987,25.3,,4,0.615,4.8,,4,0.6169,4.7,,4,0.9194,5.3,,4,0.9215,5.3,,4,0.9208,5.1,,4,0.4144,24.7,,4,1.6018,99.1,,4,1.603,98.6,,4,1.5978,99.8,,3,1.5003,0.1431,,3,1.4168,0.135,,3,1.5054,0.143,,3,1.4213,0.135
5,0.4328,24.7,,5,1.3075,91,,5,1.6969,100.6,,5,1.705,100,,5,0.7235,24.8,,5,0.6199,4.9,,5,0.6218,4.9,,5,0.9245,5.1,,5,0.9266,5.1,,5,0.9257,4.9,,5,0.4394,25,,5,1.7017,99.9,,5,1.7035,100.5,,5,1.6978,100,,4,1.6445,0.1442,,4,1.5529,0.1361,,4,1.6446,0.1392,,4,1.5525,0.1312
6,0.4581,25.3,,6,1.4088,101.3,,6,1.7969,100,,6,1.805,100,,6,0.7487,25.2,,6,0.6249,5,,6,0.6267,4.9,,6,0.9294,4.9,,6,0.9316,5,,6,0.9307,5,,6,0.4642,24.8,,6,1.8018,100.1,,6,1.8034,99.9,,6,1.7965,98.7,,5,1.7876,0.1431,,5,1.6881,0.1352,,5,1.7876,0.143,,5,1.6877,0.1352
7,0.4829,24.8,,7,1.4954,86.6,,7,1.8977,100.8,,7,1.905,100,,7,0.7735,24.8,,7,0.6299,5,,7,0.6316,4.9,,7,0.9343,4.9,,7,0.9366,5,,7,0.9356,4.9,,7,0.4879,23.7,,7,1.902,100.2,,7,1.904,100.6,,7,1.8967,100.2,,6,1.9296,0.142,,6,1.8221,0.134,,6,1.9355,0.1479,,6,1.8272,0.1395
8,0.5083,25.4,,8,1.6116,116.2,,8,1.9918,94.1,,8,2.011,106,,8,0.7964,22.9,,8,0.6347,4.8,,8,0.6366,5,,8,0.9392,4.9,,8,0.9416,5,,8,0.9406,5,,8,0.5136,25.7,,8,2.0037,101.7,,8,2.0029,98.9,,8,1.9929,96.2,,7,2.0723,0.1427,,7,1.957,0.1349,,7,2.0781,0.1426,,7,1.962,0.1348
9,0.533,24.7,,9,1.7097,98.1,,9,2.0924,100.6,,9,2.111,100,,9,0.8212,24.8,,9,0.6395,4.8,,9,0.6414,4.8,,9,0.9441,4.9,,9,0.9467,5.1,,9,0.9455,4.9,,9,0.5385,24.9,,9,2.1038,100.1,,9,2.1036,100.7,,9,2.0931,100.2,,8,2.2175,0.1452,,8,2.0933,0.1363,,8,2.2217,0.1436,,8,2.0968,0.1348
A,0.5582,25.2,,A,1.8051,95.4,,A,2.1926,100.2,,A,2.211,100,,A,0.8465,25.3,, a,0.6445,5,, a,0.6464,5,, a,0.9491,5,, a,0.9517,5,, a,0.9505,5,, a,0.5634,24.9,, a,2.204,100.2,, a,2.2035,99.9,, a,2.1919,98.8,,9,2.3604,0.1429,,9,2.2282,0.1349,,9,2.3647,0.143,,9,2.2315,0.1347
