# I2C 批量读日志 (READ_RANGE)
# Chip: DA9168
# Device Addr: 0x68
# Width: 8R/8D
# Range: 0x00 .. 0x22
# Step: 1
# Delay: 0 ms
# Timestamp: 2026-08-17 19:17:26
# Total: 35 registers

# addr     value(hex)   value(dec)
----------------------------------------
  0x00     0x09         9
  0x01     0x02         2
  0x02     0x00         0
  0x03     0x00         0
  0x04     0x80         128
  0x05     0x00         0
  0x06     0x00         0
  0x07     0x00         0
  0x08     0x00         0
  0x09     0x00         0
  0x0A     0xFF         255
  0x0B     0xFF         255
  0x0C     0xFF         255
  0x0D     0xFF         255
  0x0E     0xFF         255
  0x0F     0x38         56
  0x10     0x05         5
  0x11     0x01         1
  0x12     0x34         52
  0x13     0x18         24
  0x14     0x9A         154
  0x15     0x56         86
  0x16     0x0F         15
  0x17     0x40         64
  0x18     0x4F         79
  0x19     0x14         20
  0x1A     0x17         23
  0x1B     0x00         0
  0x1C     0x0C         12
  0x1D     0x44         68
  0x1E     0x22         34
  0x1F     0x22         34
  0x20     0x00         0
  0x21     0x55         85
  0x22     0xAA         170
